RecordTime,FaceBoundingBox_X,FaceBoundingBox_Y,FaceBoundingBox_W,FaceBoundingBox_H,FaceLandmarks_1_X,FaceLandmarks_1_Y,FaceLandmarks_2_X,FaceLandmarks_2_Y,FaceLandmarks_3_X,FaceLandmarks_3_Y,FaceLandmarks_4_X,FaceLandmarks_4_Y,FaceLandmarks_5_X,FaceLandmarks_5_Y,FaceLandmarks_6_X,FaceLandmarks_6_Y,FaceLandmarks_7_X,FaceLandmarks_7_Y,FaceLandmarks_8_X,FaceLandmarks_8_Y,FaceLandmarks_9_X,FaceLandmarks_9_Y,FaceLandmarks_10_X,FaceLandmarks_10_Y,FaceLandmarks_11_X,FaceLandmarks_11_Y,FaceLandmarks_12_X,FaceLandmarks_12_Y,FaceLandmarks_13_X,FaceLandmarks_13_Y,FaceLandmarks_14_X,FaceLandmarks_14_Y,FaceLandmarks_15_X,FaceLandmarks_15_Y,FaceLandmarks_16_X,FaceLandmarks_16_Y,FaceLandmarks_17_X,FaceLandmarks_17_Y,FaceLandmarks_18_X,FaceLandmarks_18_Y,FaceLandmarks_19_X,FaceLandmarks_19_Y,FaceLandmarks_20_X,FaceLandmarks_20_Y,FaceLandmarks_21_X,FaceLandmarks_21_Y,FaceLandmarks_22_X,FaceLandmarks_22_Y,FaceLandmarks_23_X,FaceLandmarks_23_Y,FaceLandmarks_24_X,FaceLandmarks_24_Y,FaceLandmarks_25_X,FaceLandmarks_25_Y,FaceLandmarks_26_X,FaceLandmarks_26_Y,FaceLandmarks_27_X,FaceLandmarks_27_Y,FaceLandmarks_28_X,FaceLandmarks_28_Y,FaceLandmarks_29_X,FaceLandmarks_29_Y,FaceLandmarks_30_X,FaceLandmarks_30_Y,FaceLandmarks_31_X,FaceLandmarks_31_Y,FaceLandmarks_32_X,FaceLandmarks_32_Y,FaceLandmarks_33_X,FaceLandmarks_33_Y,FaceLandmarks_34_X,FaceLandmarks_34_Y,FaceLandmarks_35_X,FaceLandmarks_35_Y,HeadPoseAngles_X,HeadPoseAngles_Y,HeadPoseAngles_Z,EyeState_Left,EyeState_Right,LeftEyeBoundingBox_X,LeftEyeBoundingBox_Y,LeftEyeBoundingBox_W,LeftEyeBoundingBox_H,RightEyeBoundingBox_X,RightEyeBoundingBox_Y,RightEyeBoundingBox_W,RightEyeBoundingBox_H,EyeLandmarks_1_X,EyeLandmarks_1_Y,EyeLandmarks_2_X,EyeLandmarks_2_Y,EyeLandmarks_3_X,EyeLandmarks_3_Y,EyeLandmarks_4_X,EyeLandmarks_4_Y,LeftEyeMidPoint_X,LeftEyeMidPoint_Y,RightEyeMidPoint_X,RightEyeMidPoint_Y,GazeVector_X,GazeVector_Y,GazeVector_Z,RecordType
2023-05-01 231925,502,103,271,271,615,199,580,197,667,198,700,195,647,242,646,258,618,251,670,250,611,289,676,288,646,277,647,308,563,177,590,161,622,171,661,170,690,159,714,173,545,197,546,222,550,247,556,270,565,293,579,312,597,329,619,342,646,346,670,339,688,325,702,308,712,287,718,265,722,242,724,218,723,193,3.09855,-2.48347,-0.181328,1,1,566,167,63,63,654,167,59,59,615,199,580,197,667,198,700,195,597.5,198,683.5,196.5,-0.0665287,-0.0418965,-0.996904,1
2023-05-01 231925,502,103,271,271,615,199,580,198,667,198,700,195,646,242,646,259,618,252,670,250,610,289,676,288,646,277,646,308,563,177,590,161,622,171,661,170,690,159,714,173,545,198,546,223,550,247,556,271,565,293,579,313,597,330,618,342,646,347,670,340,688,326,702,308,712,288,719,266,723,243,725,219,724,194,3.44667,-2.72641,0.0911143,1,1,566,167,63,63,654,167,59,59,615,199,580,198,667,198,700,195,597.5,198.5,683.5,196.5,-0.0589231,-0.0280868,-0.997867,1
2023-05-01 231925,502,103,271,271,616,200,581,198,668,199,700,196,647,242,646,259,618,251,670,251,610,289,676,288,646,277,646,309,564,177,591,161,623,171,662,171,691,160,715,174,546,197,547,222,550,247,556,271,565,293,579,313,596,329,618,342,645,347,669,340,687,326,701,309,712,289,718,267,722,243,724,220,724,195,3.2734,-1.97499,0.093111,1,1,567,168,63,63,656,169,57,57,616,200,581,198,668,199,700,196,598.5,199,684,197.5,-0.0908296,-0.0294721,-0.99543,1
2023-05-01 231925,502,103,271,271,615,200,581,198,667,199,700,196,647,242,646,259,618,252,670,251,610,289,676,288,646,277,646,308,563,177,590,161,622,171,662,170,691,159,715,174,545,198,546,223,550,247,556,271,565,293,579,313,596,330,618,342,645,347,670,340,688,326,702,309,712,289,719,267,723,244,725,220,724,195,3.26119,-3.15238,-0.00551867,1,1,568,169,61,61,654,168,59,59,615,200,581,198,667,199,700,196,598,199,683.5,197.5,-0.0516001,-0.0281779,-0.99827,1
2023-05-01 231925,501,102,271,271,614,199,579,198,666,198,700,195,645,242,645,259,617,252,669,250,609,289,676,288,645,277,645,308,561,178,588,161,620,171,660,170,690,158,714,173,544,198,545,223,549,248,555,272,564,294,578,314,596,330,617,343,645,347,669,341,687,326,701,309,712,289,719,267,723,243,725,219,724,194,3.96616,-0.0482674,-1.13682,1,1,565,167,63,63,653,166,61,61,614,199,579,198,666,198,700,195,596.5,198.5,683,196.5,-0.0453002,-0.0439934,-0.998004,1
2023-05-01 231925,502,102,272,272,615,200,581,198,666,199,698,196,646,242,645,258,618,251,669,250,611,289,675,288,645,277,646,309,564,177,591,161,622,171,660,171,689,160,712,174,546,198,547,223,550,247,556,271,565,293,579,313,597,329,618,342,646,347,670,340,687,326,701,308,711,288,717,266,721,243,723,220,722,195,4.33085,-2.59189,0.194091,1,1,568,169,61,61,654,169,57,57,615,200,581,198,666,199,698,196,598,199,682,197.5,-0.0522107,-0.0290999,-0.998212,1
2023-05-01 231925,502,102,271,271,614,199,580,197,666,198,699,195,645,242,645,259,617,252,669,250,610,289,676,288,645,277,645,309,562,177,589,161,621,171,660,170,690,158,714,173,545,198,546,223,550,247,556,271,565,294,578,314,596,330,618,343,645,348,670,341,687,327,702,309,712,289,719,266,723,243,725,219,724,194,3.87411,-2.62784,-1.75393,1,1,567,168,61,61,653,167,59,59,614,199,580,197,666,198,699,195,597,198,682.5,196.5,-0.0519628,-0.0437685,-0.997689,1
2023-05-01 231925,503,102,271,271,614,199,580,197,666,199,699,196,645,242,644,259,617,252,668,251,610,289,675,288,644,277,645,307,563,177,590,161,621,171,660,171,690,160,714,174,545,197,546,222,549,247,555,270,564,293,578,312,596,329,617,342,645,346,669,340,687,326,701,308,712,288,718,266,722,243,724,220,724,195,3.85342,-1.81848,-0.631794,1,1,567,168,61,61,653,168,59,59,614,199,580,197,666,199,699,196,597,198,682.5,197.5,-0.0590909,-0.0391699,-0.997484,1
2023-05-01 231925,503,102,270,270,614,200,580,199,666,198,699,194,645,242,645,259,617,252,669,250,611,290,676,288,645,277,646,308,562,179,589,162,620,171,660,170,689,158,713,172,544,200,546,225,550,249,556,272,565,294,579,314,597,330,619,342,646,346,670,339,688,325,702,308,713,288,719,265,723,242,725,218,724,193,4.32367,-1.85139,-3.03823,1,1,567,169,61,61,653,167,59,59,614,200,580,199,666,198,699,194,597,199.5,682.5,196,-0.0590506,-0.0613908,-0.996365,1
2023-05-01 231925,504,104,267,267,615,199,580,198,667,197,700,194,645,242,645,259,618,252,669,250,611,290,676,288,645,278,646,308,563,177,590,160,621,170,661,168,690,156,715,171,546,198,547,223,551,247,557,271,566,293,579,313,597,329,618,342,646,346,670,340,688,325,702,308,713,288,720,266,724,242,726,218,725,193,4.28763,-0.8203,-0.964652,1,1,566,167,63,63,654,166,59,59,615,199,580,198,667,197,700,194,597.5,198.5,683.5,195.5,-0.0563429,-0.0676197,-0.996119,1
2023-05-01 231925,504,103,268,268,615,200,580,198,667,198,700,194,645,242,645,259,618,252,669,250,611,289,676,288,645,277,646,308,562,178,589,161,621,171,660,170,690,158,714,172,545,199,547,224,551,248,557,272,566,294,579,313,597,330,619,342,646,347,671,340,688,325,703,308,713,288,720,266,724,242,726,218,725,193,4.71184,-1.6768,-2.1378,1,1,566,168,63,63,654,167,59,59,615,200,580,198,667,198,700,194,597.5,199,683.5,196,-0.0464542,-0.0630511,-0.996929,1
2023-05-01 231925,503,103,270,270,615,199,580,197,667,198,700,195,646,242,645,259,617,252,669,250,610,289,676,288,645,277,645,308,563,177,590,161,621,171,661,170,691,159,715,173,545,197,546,222,550,247,556,271,565,293,578,313,596,330,618,343,645,347,670,340,688,326,702,309,713,288,719,266,723,243,725,219,725,194,4.52745,-0.721299,-0.169536,1,1,566,167,63,63,654,167,59,59,615,199,580,197,667,198,700,195,597.5,198,683.5,196.5,-0.0413256,-0.0561495,-0.997567,1
