RecordTime,FaceBoundingBox_X,FaceBoundingBox_Y,FaceBoundingBox_W,FaceBoundingBox_H,FaceLandmarks_1_X,FaceLandmarks_1_Y,FaceLandmarks_2_X,FaceLandmarks_2_Y,FaceLandmarks_3_X,FaceLandmarks_3_Y,FaceLandmarks_4_X,FaceLandmarks_4_Y,FaceLandmarks_5_X,FaceLandmarks_5_Y,FaceLandmarks_6_X,FaceLandmarks_6_Y,FaceLandmarks_7_X,FaceLandmarks_7_Y,FaceLandmarks_8_X,FaceLandmarks_8_Y,FaceLandmarks_9_X,FaceLandmarks_9_Y,FaceLandmarks_10_X,FaceLandmarks_10_Y,FaceLandmarks_11_X,FaceLandmarks_11_Y,FaceLandmarks_12_X,FaceLandmarks_12_Y,FaceLandmarks_13_X,FaceLandmarks_13_Y,FaceLandmarks_14_X,FaceLandmarks_14_Y,FaceLandmarks_15_X,FaceLandmarks_15_Y,FaceLandmarks_16_X,FaceLandmarks_16_Y,FaceLandmarks_17_X,FaceLandmarks_17_Y,FaceLandmarks_18_X,FaceLandmarks_18_Y,FaceLandmarks_19_X,FaceLandmarks_19_Y,FaceLandmarks_20_X,FaceLandmarks_20_Y,FaceLandmarks_21_X,FaceLandmarks_21_Y,FaceLandmarks_22_X,FaceLandmarks_22_Y,FaceLandmarks_23_X,FaceLandmarks_23_Y,FaceLandmarks_24_X,FaceLandmarks_24_Y,FaceLandmarks_25_X,FaceLandmarks_25_Y,FaceLandmarks_26_X,FaceLandmarks_26_Y,FaceLandmarks_27_X,FaceLandmarks_27_Y,FaceLandmarks_28_X,FaceLandmarks_28_Y,FaceLandmarks_29_X,FaceLandmarks_29_Y,FaceLandmarks_30_X,FaceLandmarks_30_Y,FaceLandmarks_31_X,FaceLandmarks_31_Y,FaceLandmarks_32_X,FaceLandmarks_32_Y,FaceLandmarks_33_X,FaceLandmarks_33_Y,FaceLandmarks_34_X,FaceLandmarks_34_Y,FaceLandmarks_35_X,FaceLandmarks_35_Y,HeadPoseAngles_X,HeadPoseAngles_Y,HeadPoseAngles_Z,EyeState_Left,EyeState_Right,LeftEyeBoundingBox_X,LeftEyeBoundingBox_Y,LeftEyeBoundingBox_W,LeftEyeBoundingBox_H,RightEyeBoundingBox_X,RightEyeBoundingBox_Y,RightEyeBoundingBox_W,RightEyeBoundingBox_H,EyeLandmarks_1_X,EyeLandmarks_1_Y,EyeLandmarks_2_X,EyeLandmarks_2_Y,EyeLandmarks_3_X,EyeLandmarks_3_Y,EyeLandmarks_4_X,EyeLandmarks_4_Y,LeftEyeMidPoint_X,LeftEyeMidPoint_Y,RightEyeMidPoint_X,RightEyeMidPoint_Y,GazeVector_X,GazeVector_Y,GazeVector_Z,RecordType
2023-05-13 142553,516,150,397,397,669,303,623,304,745,296,791,289,712,365,715,390,677,381,750,374,671,434,768,425,718,417,722,456,597,277,633,254,677,267,730,262,772,241,812,257,576,307,580,342,587,375,597,408,610,439,631,468,657,492,688,510,728,515,765,504,793,481,816,453,831,422,839,389,843,355,844,320,841,284,-2.36342,9.37291,-5.37988,1,1,605,262,82,82,727,251,83,83,669,303,623,304,745,296,791,289,646,303.5,768,292.5,-0.14365,0.0143302,-0.989525,1
2023-05-13 142553,516,151,397,397,669,302,623,303,745,296,790,288,712,364,715,389,677,380,750,373,671,433,768,424,718,416,722,456,596,275,633,253,676,266,729,261,771,240,811,256,576,306,579,340,586,374,596,406,609,437,630,467,657,491,688,509,728,515,765,503,794,480,816,452,831,421,839,388,843,354,843,319,840,283,-2.19131,9.44364,-5.27546,1,1,605,261,82,82,726,251,82,82,669,302,623,303,745,296,790,288,646,302.5,767.5,292,-0.155179,0.0363182,-0.987219,1
2023-05-13 142553,515,149,400,400,669,302,623,303,745,295,791,288,713,364,716,389,678,380,751,373,671,433,768,424,719,416,723,455,596,275,632,253,677,266,730,261,771,240,812,256,575,306,579,341,586,374,596,407,610,438,630,467,657,491,689,509,729,514,766,503,794,480,816,452,832,421,839,388,843,354,844,319,840,283,-2.24677,9.05237,-5.3942,1,1,605,261,82,82,727,250,83,83,669,302,623,303,745,295,791,288,646,302.5,768,291.5,-0.130501,0.0181819,-0.991281,1
2023-05-13 142554,515,148,401,401,670,301,623,303,746,295,792,287,714,364,716,389,678,380,751,373,672,433,769,424,719,416,723,455,596,275,633,253,678,266,731,260,773,240,813,255,575,306,579,340,586,374,596,407,610,438,630,467,657,491,689,509,729,514,766,503,794,480,816,452,832,421,840,387,843,353,844,318,841,282,-2.04056,8.88708,-5.32535,1,1,604,260,84,84,727,249,84,84,670,301,623,303,746,295,792,287,646.5,302,769,291,-0.128708,0.00437912,-0.991673,1
2023-05-13 142554,515,148,402,402,669,301,623,302,746,295,792,287,714,364,716,389,678,380,751,373,671,432,769,423,719,416,723,455,596,275,632,253,677,266,730,260,772,240,813,255,575,305,579,340,586,373,596,406,610,437,631,466,657,491,690,509,730,514,767,503,795,480,817,452,832,420,840,387,844,353,844,318,841,282,-2.1728,10.1063,-5.61229,1,1,605,260,82,82,727,249,84,84,669,301,623,302,746,295,792,287,646,301.5,769,291,-0.134454,0.00121707,-0.990919,1
2023-05-13 142554,515,148,402,402,669,301,623,302,746,294,792,287,714,365,716,389,678,380,751,373,671,433,769,423,719,416,723,455,596,274,632,252,677,265,730,260,772,239,813,255,575,305,578,340,586,373,596,406,610,437,631,466,658,491,690,510,730,515,767,503,795,480,817,452,833,420,841,387,844,353,845,318,841,282,-2.22379,10.4194,-5.47247,1,1,605,260,82,82,728,249,83,83,669,301,623,302,746,294,792,287,646,301.5,769,290.5,-0.125687,0.00319324,-0.992065,1
2023-05-13 142554,515,146,404,404,670,301,623,302,747,294,793,286,714,365,716,390,678,381,752,373,671,434,769,424,719,417,723,456,596,274,633,252,677,265,731,260,774,238,815,254,575,305,579,340,586,374,596,407,610,438,631,467,658,491,689,510,729,515,766,503,794,480,817,452,832,420,841,387,844,352,846,317,843,280,-1.93506,9.81405,-5.44057,1,1,604,259,84,84,728,248,84,84,670,301,623,302,747,294,793,286,646.5,301.5,770,290,-0.125588,0.00210665,-0.99208,1
2023-05-13 142554,515,145,406,406,670,301,623,302,747,294,793,286,714,366,716,390,678,381,751,374,671,434,768,425,719,418,723,457,596,274,633,252,678,265,732,260,774,239,815,254,575,304,579,339,586,373,596,406,610,438,630,467,657,492,689,510,728,515,766,503,794,480,816,452,832,420,840,387,844,352,846,317,843,280,-2.10627,10.0499,-5.6537,1,1,604,259,84,84,728,248,84,84,670,301,623,302,747,294,793,286,646.5,301.5,770,290,-0.128181,0.00910378,-0.991709,1
2023-05-13 142554,514,147,405,405,671,302,624,303,748,295,795,287,716,367,718,391,679,382,753,375,672,435,770,426,721,419,724,457,597,275,634,253,679,266,733,260,776,239,816,255,575,305,578,341,586,375,596,408,610,439,631,469,658,493,690,512,730,517,768,505,796,481,818,453,834,422,842,388,846,354,847,319,844,282,-2.16035,9.61933,-5.81139,1,1,605,260,84,84,729,249,85,85,671,302,624,303,748,295,795,287,647.5,302.5,771.5,291,-0.120292,-0.00654078,-0.992717,1
2023-05-13 142554,514,147,406,406,672,303,625,304,749,296,795,288,716,367,718,392,680,383,753,375,673,436,770,426,721,419,725,458,597,276,635,254,680,267,734,261,776,240,817,256,575,306,579,342,586,376,596,409,610,440,631,470,658,494,690,512,730,517,768,506,796,482,818,454,833,422,842,389,846,354,847,319,844,283,-1.86697,9.29031,-5.37143,1,1,606,261,84,84,730,250,84,84,672,303,625,304,749,296,795,288,648.5,303.5,772,292,-0.11534,-0.00492504,-0.993314,1
